"","x"
"1342","13813"
"1343","10032"
"1344","12443"
"1345","12941"
"1346","13603"
"1347","43723"
"1348","58830"
"1349","56032"
"1350","43545"
"1351","17555"
"1352","18080"
"1353","38652"
"1354","39750"
"1355","38945"
"1356","11596"
"1357","14847"
"1358","12859"
"1359","14470"
"1360","56653"
"1361","14170"
"1362","12056"
"1363","45153"
"1364","43154"
"1365","43135"
"1366","15690"
"1367","18017"
"1368","19547"
"1369","79329"
"1370","76093"
"1371","39354"
"1372","76208"
"1373","77478"
"1374","78247"
"1375","26437"
"1376","25839"
"1377","25209"
"1378","25102"
"1379","24811"
"1380","54420"
"1381","54107"
"1382","56456"
"1383","57262"
"1384","57767"
"1385","78748"
"1386","78122"
"1387","78742"
"1388","37057"
"1389","26855"
"1390","26761"
"1391","98621"
"1392","25251"
"1393","38630"
"1394","23004"
"1395","01701"
"1396","29065"
"1397","37303"
"1398","37863"
"1399","57337"
"1400","15225"
"1401","77640"
"1402","77962"
"1403","99036"
"1404","39039"
"1405","25526"
"1406","05674"
"1407","26294"
"1408","05457"
"1409","62661"
"1410","82430"
"1411","38572"
"1412","37031"
"1413","38076"
"1414","98564"
"1415","39330"
"1416","05837"
"1417","82732"
"1418","82060"
"1419","54846"
"1420","61070"
"1421","37167"
"1422","37618"
"1423","38475"
"1424","75149"
"1425","37708"
"1426","65802"
"1427","84033"
"1428","76680"
"1429","05640"
"1430","69367"
"1431","07977"
"1432","31309"
"1433","06031"
"1434","57568"
"1435","38548"
"1436","38573"
"1437","63540"
"1438","75038"
"1439","76831"
"1440","77857"
"1441","84646"
"1442","23220"
"1443","42153"
"1444","12910"
"1445","03450"
"1446","64448"
"1447","16636"
"1448","83657"
"1449","63826"
"1450","17353"
"1451","16645"
"1452","16563"
"1453","15049"
"1454","22554"
"1455","22153"
"1456","38367"
"1457","05458"
"1458","84664"
"1459","68865"
"1460","63837"
"1461","03256"
"1462","54932"
"1463","17304"
"1464","19534"
"1465","15444"
"1466","17970"
"1467","84404"
"1468","24076"
"1469","05759"
"1470","23423"
"1471","63767"
"1472","83857"
"1473","36609"
"1474","92066"
"1475","17023"
"1476","76360"
"1477","77450"
"1478","78759"
"1479","05851"
"1480","22733"
"1481","84336"
"1482","68749"
"1483","54603"
"1484","53943"
"1485","41754"
"1486","64114"
"1487","50574"
"1488","52548"
"1489","77532"
"1490","78224"
"1491","24069"
"1492","20197"
"1493","03240"
"1494","23857"
"1495","54449"
"1496","82929"
"1497","25555"
"1498","05652"
"1499","04216"
"1500","50136"
"1501","66740"
"1502","50274"
"1503","78065"
"1504","03871"
"1505","78526"
"1506","05641"
"1507","05858"
"1508","84120"
"1509","23023"
"1510","20170"
"1511","15853"
"1512","29650"
"1513","79041"
"1514","77872"
"1515","69340"
"1516","22642"
"1517","23462"
"1518","22181"
"1519","54409"
"1520","53523"
"1521","54829"
"1522","17967"
"1523","15832"
"1524","02828"
"1525","02904"
"1526","08320"
"1527","75058"
"1528","77070"
"1529","75770"
"1530","98935"
"1531","98860"
"1532","22193"
"1533","54437"
"1534","02808"
"1535","29033"
"1536","29605"
"1537","68113"
"1538","75034"
"1539","77546"
"1540","23106"
"1541","98849"
"1542","54619"
"1543","54965"
"1544","18347"
"1545","16034"
"1546","15961"
"1547","57231"
"1548","88061"
"1549","78017"
"1550","76380"
"1551","99009"
"1552","98604"
"1553","98665"
"1554","54558"
"1555","53574"
"1556","91934"
"1557","06332"
"1558","57401"
"1559","83546"
"1560","87413"
"1561","29016"
"1562","75442"
"1563","75252"
"1564","75021"
"1565","22832"
"1566","98003"
"1567","25654"
"1568","96785"
"1569","31561"
"1570","54006"
"1571","87701"
"1572","05076"
"1573","05830"
"1574","25674"
"1575","16405"
"1576","15923"
"1577","15926"
"1578","21795"
"1579","01367"
"1580","47341"
"1581","46743"
"1582","07606"
"1583","49806"
"1584","08330"
"1585","18014"
"1586","16150"
"1587","17569"
"1588","36587"
"1589","71826"
"1590","46797"
"1591","67869"
"1592","51648"
"1593","87013"
"1594","20722"
"1595","68636"
"1596","03878"
"1597","43963"
"1598","07833"
"1599","69149"
"1600","68420"
"1601","15327"
"1602","85618"
"1603","85282"
"1604","07939"
"1605","38769"
"1606","72333"
"1607","93042"
"1608","61024"
"1609","20645"
"1610","40826"
"1611","11952"
"1612","29341"
"1613","12526"
"1614","99025"
"1615","07046"
"1616","73430"
"1617","93950"
"1618","06516"
"1619","19933"
"1620","01970"
"1621","70658"
"1622","42722"
"1623","41563"
"1624","57270"
"1625","57457"
"1626","14135"
"1627","08012"
